State,District,Sowing_Season,Irrigation_Status,Recommended_Varieties
Haryana,Yamunanagar,Main Kharif,Rainfed,Khandagiri; Nagina 22; Sahbhagi Dhan
Odisha,Koraput,Kharif,Limited Irrigation,Lalat; Mahanandi; Anjali
Jharkhand,Gumla,Summer,Irrigated,Rasi; Satabdi; Boro varieties; Improved Sabarmati
Uttar Pradesh,Pilibhit,Main Kharif,Rainfed,Udaya; Sahbhagi Dhan; Adamchini
Punjab,Fazilka,Kharif,Irrigated,MTU-1010; Mahsuri; PR 130; JGL 384
Andhra Pradesh,Kurnool,Kharif,Limited Irrigation,Hamilton; Anjali
Tamil Nadu,Tirunelveli,Rabi,Limited Irrigation,Lunishree; Improved Sabarmati
Bihar,Bhagalpur,Rabi,Limited Irrigation,Khitish; Samba Mahsuri-Sub1; CSR 30; Satabdi
Jharkhand,Giridih,Early Kharif,Rainfed,Konark; Khandagiri; Virendra
Uttar Pradesh,Pratapgarh,Early Kharif,Irrigated,Pusa 44; MTU-1262; MTU-1010
Uttar Pradesh,Sultanpur,Kharif,Irrigated,PR 126; PR 130
Haryana,Karnal,Rabi,Limited Irrigation,Khitish; Rasi
Chhattisgarh,Kabirdham,Summer,Irrigated,Khitish; Improved Sabarmati
Chhattisgarh,Janjgir-Champa,Summer,Irrigated,IR 64; Rasi; Jeeraphool; CSR 30
West Bengal,Cooch Behar,Main Rabi,Rainfed,Kalonunia; Lunishree
Odisha,Cuttack,Main Rabi,Limited Irrigation,CR Dhan 801; Hamilton; MCM-100
West Bengal,Murshidabad,Main Rabi,Rainfed,Satabdi; Saket 4; Lunishree
Tamil Nadu,All,Rabi,Irrigated,MTU-1061; CSR 43; SR 26B
Andhra Pradesh,East Godavari,Main Kharif,Irrigated,MTU-1010; JGL 1798; PAU 201
Jharkhand,Bokaro,Early Kharif,Irrigated,JGL 1798; Samba Mahsuri (BPT-5204)
Uttar Pradesh,Pratapgarh,Main Kharif,Irrigated,IR 64; MTU-1121; PR 131
Assam,Kamrup,Kharif,Rainfed,Ranjit; CR Dhan 40; Kola Joha
Tamil Nadu,Tiruchirapalli,Early Kharif,Irrigated,JGL 384; MCM-100
Bihar,Gaya,Summer,Limited Irrigation,Boro varieties; Swarna-Sub1; IR64-Sub1; Improved Sabarmati
Assam,Dhubri,Late Kharif,Irrigated,Mahsuri; Bora Rice; MTU-1010
Chhattisgarh,Jashpur,Early Kharif,Irrigated,JGL 1798; Dubraj; MTU-1224
Chhattisgarh,Raipur,Late Kharif,Limited Irrigation,Naveen; Mahanandi; Indira
Andhra Pradesh,Guntur,Summer,Limited Irrigation,IR 64; CSR 27; SR 26B
Jharkhand,Gumla,Summer,Limited Irrigation,Improved Sabarmati; Jaya
Jharkhand,Gumla,Early Kharif,Irrigated,JGL 384; PR 121; MTU-1010
Uttar Pradesh,Sultanpur,Late Kharif,Irrigated,BPT-2231; IR 64
Andhra Pradesh,West Godavari,Summer,Limited Irrigation,CSR 27; MCM-100
Chhattisgarh,Kabirdham,Rabi,Limited Irrigation,CSR 30; Badshah Bhog
Andhra Pradesh,Kadapa,Summer,Limited Irrigation,CSR 43; SR 26B; MCM-100; MTU-1061
Chhattisgarh,Rajnandgaon,Early Kharif,Irrigated,Jeeraphool; PAU 201; HKR 47
West Bengal,Birbhum,Kharif,Rainfed,Konark; CSR 27; Gayatri
West Bengal,Uttar Dinajpur,Kharif,Limited Irrigation,CSR 43; Kataribhog; CR Dhan 801
West Bengal,Jalpaiguri,Early Kharif,Irrigated,CR Dhan 801; Rasi
Bihar,Aurangabad,Early Kharif,Limited Irrigation,Ranjit; Lalat
Jharkhand,Deoghar,Rabi,Irrigated,Improved Sabarmati; GR 11; Pusa 1509
Karnataka,Raichur,Rabi,Rainfed,Jeerige Sanna; Anjali; Saket 4
Bihar,Samastipur,Early Kharif,Irrigated,HKR 47; JGL 384; PR 121
Tamil Nadu,Sivaganga,Main Kharif,Limited Irrigation,MTU-1061; Lalat
Odisha,Mayurbhanja,Early Rabi,Limited Irrigation,CSR 36; Rasi
West Bengal,Bardhaman,Early Kharif,Irrigated,Pusa 44; SR 26B; BPT-2231
Tamil Nadu,Thanjavur,Late Kharif,Rainfed,Anjali; Annada
Bihar,Patna,Late Kharif,Limited Irrigation,Anjali; IR64-Sub1; Pooja
Odisha,Bargarh,Early Kharif,Limited Irrigation,MTU-1061; IR64-Sub1
Assam,Kokrajhar,Kharif,Rainfed,Birsa Vikas Dhan 110; Joha Rice
Andhra Pradesh,Kadapa,Summer,Irrigated,SR 26B; Khitish
Karnataka,Uttar Kannada,Main Rabi,Rainfed,GR 11; Ratna
Tamil Nadu,Sivaganga,Summer,Limited Irrigation,CSR 36; IR 64
West Bengal,South 24 Parganas,Kharif,Rainfed,Radhunipagal; Anjali; Virendra; Annada
Punjab,Hoshiarpur,Kharif,Limited Irrigation,Surendra; Ranjit
Odisha,Bargarh,Early Rabi,Irrigated,Satabdi; SR 26B; GR 11
West Bengal,Malda,Early Rabi,Irrigated,Ratna; Badshabhog; Jaya
Uttar Pradesh,Siddharthnagar,Late Kharif,Limited Irrigation,Taraori Basmati; Mahanandi
Assam,Goalpara,Main Kharif,Limited Irrigation,Sahbhagi Dhan; Bora Rice
Punjab,Hoshiarpur,Summer,Limited Irrigation,Pusa Basmati 1121; Punjab Basmati 7
Karnataka,Mandya,Rabi,Irrigated,Khitish; Pusa 1509; GR 11
West Bengal,Murshidabad,Kharif,Irrigated,BPT-2231; Swarna-Sub1; MTU-1010
Bihar,Muzaffarpur,Main Kharif,Rainfed,Konark; Sahbhagi Dhan
West Bengal,Uttar Dinajpur,Summer,Irrigated,Ciherang-Sub1; Radhunipagal; CSR 27
Karnataka,Mandya,Rabi,Limited Irrigation,Ratna; Jeerige Sanna
Punjab,SBS Nagar,Main Rabi,Limited Irrigation,Khitish; Swarna; Jaya
Chhattisgarh,Raigarh,Summer,Irrigated,Khitish; Badshah Bhog; Vishnu Bhog
Jharkhand,Hazaribagh,Rabi,Limited Irrigation,IR 64; Ratna; CSR 30
Punjab,Fazilka,Rabi,Irrigated,Rasi; Jaya; Ratna; Swarna
Karnataka,Gadag,Kharif,Rainfed,Khandagiri; Swarna-Sub1
Punjab,Sangrur,Early Kharif,Rainfed,Gayatri; Nagina 22; Birsa Vikas Dhan 109
Haryana,Yamunanagar,Kharif,Limited Irrigation,Naveen; Pooja; Khandagiri
Jharkhand,Ranchi,Early Kharif,Irrigated,PR 126; MTU-1262
Odisha,Ganjam,Main Rabi,Irrigated,GR 11; Swarna-Sub1; Pusa 1121
Haryana,Ambala,Kharif,Irrigated,Vijetha; MTU-1010
Karnataka,Mandya,Kharif,Irrigated,BPT-2231; JGL 1798
Punjab,Fazilka,Rabi,Irrigated,Ratna; Satabdi
Jharkhand,Hazaribagh,Kharif,Irrigated,PR 131; Samba Mahsuri (BPT-5204)
West Bengal,Alipurduar,Summer (Hot Weather),Irrigated,IR64-Sub1; Samba Mahsuri-Sub1
Tamil Nadu,Thanjavur,Kharif,Limited Irrigation,Ranjit; MTU-1061; Pratiksha
Odisha,Rayagada,Early Kharif,Limited Irrigation,CR Dhan 801; Indira; Sahbhagi Dhan
Jharkhand,Giridih,Main Kharif,Irrigated,PR 130; Pusa 44; RNR 15048
Haryana,Panipat,Rabi,Irrigated,Improved Sabarmati; MTU-1010
Odisha,Mayurbhanja,Rabi,Limited Irrigation,MTU-1010; Rasi; Jaya
Tamil Nadu,Nagapattinam,Rabi,Irrigated,SR 26B; Pusa 1509; CSR 30
Punjab,Faridkot,Kharif,Irrigated,Taraori Basmati; JGL 1798; Punjab Basmati 7; IR 64
Andhra Pradesh,Krishna,Rabi,Irrigated,Rasi; SR 26B
Assam,Sibsagar,Summer,Irrigated,Swarna-Sub1; Boro varieties
Jharkhand,Deoghar,Late Kharif,Irrigated,MTU-1318; Rasi
Punjab,Moga,Early Rabi,Limited Irrigation,Pusa 1509; Ratna; Punjab Basmati 7
Punjab,Rupnagar,Main Rabi,Irrigated,IR 64; Pusa Basmati 1121; Swarna
Odisha,Ganjam,Kharif,Limited Irrigation,Anjali; CSR 36; Udaya
Uttar Pradesh,Mau,Rabi,Irrigated,CSR 30; MTU-1010
Uttar Pradesh,Amethi,Summer,Irrigated,Pusa Basmati 1121; Taraori Basmati; Satabdi; Ratna
Uttar Pradesh,Chandauli,Summer,Limited Irrigation,Improved Sabarmati; Jaya
Tamil Nadu,Ramanathapuram,Early Rabi,Rainfed,Improved Sabarmati; Rasi; IR 64
Haryana,Yamunanagar,Rabi,Limited Irrigation,Rasi; Ratna
Karnataka,Mysore,Summer,Irrigated,IR 64; Ratna; Improved Sabarmati; Jeerige Sanna
Karnataka,Raichur,Late Kharif,Irrigated,MTU-1224; JGL 384
Odisha,Cuttack,Rabi,Limited Irrigation,MCM-100; CR Dhan 801; CSR 27
Andhra Pradesh,Anantapur,Summer,Irrigated,Hamilton; Khitish
Karnataka,Tumkur,Rabi,Rainfed,Pusa 1121; Pusa 1509; Ratna
Uttar Pradesh,Sitapur,Early Rabi,Limited Irrigation,Rasi; Jaya
Andhra Pradesh,Vizianagaram,Main Rabi,Limited Irrigation,CSR 43; Ratna; Swarna
Haryana,Jind,Main Rabi,Irrigated,Improved Sabarmati; MTU-1010; Satabdi
West Bengal,Hooghly,Rabi,Irrigated,Improved Sabarmati; IR64-Sub1; Kataribhog; Rasi
Chhattisgarh,Raigarh,Main Kharif,Irrigated,PR 128; Vishnu Bhog
Assam,Jorhat,Rabi,Limited Irrigation,Joha Rice; Swarna-Sub1; Pusa 1509; Kola Joha
Tamil Nadu,Salem,Summer (Hot Weather),Irrigated,Jaya; Ratna
Haryana,Jind,Main Rabi,Limited Irrigation,GR 11; IR 64; Ratna
Karnataka,Tumkur,Summer,Irrigated,IR 64; Rasi
Uttar Pradesh,Chandauli,Summer,Irrigated,Adamchini; IR 64; Taraori Basmati
Punjab,Fatehgarh Sahib,Late Kharif,Irrigated,Pusa 44; PR 128; PR 126
Odisha,Bargarh,Early Kharif,Limited Irrigation,Gayatri; Khandagiri
West Bengal,Purulia,Summer (Hot Weather),Limited Irrigation,Boro varieties; SR 26B; CSR 27
Haryana,Ambala,Summer,Limited Irrigation,Satabdi; IR 64; Khitish; Boro varieties
Andhra Pradesh,Kurnool,Summer (Hot Weather),Irrigated,Ratna; IR 64; CSR 30
West Bengal,Howrah,Late Kharif,Irrigated,Lunishree; SR 26B
Odisha,Puri,Early Kharif,Irrigated,MCM-100; PR 130; Hamilton
Bihar,Bhagalpur,Summer,Limited Irrigation,Rasi; Improved Sabarmati; IR 64; IR64-Sub1
Punjab,Tarn Taran,Main Kharif,Rainfed,Sahbhagi Dhan; Saket 4
Andhra Pradesh,Prakasam,Rabi,Limited Irrigation,SR 26B; CSR 43
Haryana,Jind,Late Kharif,Limited Irrigation,Naveen; Indira; Vandana
Tamil Nadu,Salem,Main Rabi,Irrigated,Satabdi; Improved Sabarmati
Haryana,Jind,Rabi,Irrigated,Jaya; Improved Sabarmati
Andhra Pradesh,Guntur,Summer,Irrigated,Hamilton; Satabdi; Khitish
Karnataka,Bellary,Kharif,Irrigated,Jeerige Sanna; Pusa 44; IR 64; JGL 1798
Chhattisgarh,Surguja,Late Kharif,Irrigated,Sumati; PR 131; MTU-1318
Punjab,Gurdaspur,Summer,Limited Irrigation,Improved Sabarmati; Rasi
Tamil Nadu,Thoothukudi,Kharif,Irrigated,Pusa 44; PAU 201; Mahsuri; PR 131
West Bengal,South 24 Parganas,Late Kharif,Limited Irrigation,Kataribhog; Ciherang-Sub1; Radhunipagal
Andhra Pradesh,Anantapur,Early Rabi,Limited Irrigation,CSR 30; Khitish; CSR 43
Bihar,Bhojpur,Summer,Irrigated,Khitish; Improved Sabarmati
Uttar Pradesh,Sultanpur,Kharif,Limited Irrigation,Swarna-Sub1; Ranjit; Konark; Udaya
Jharkhand,Dhanbad,Rabi,Irrigated,Satabdi; IR 64
Uttar Pradesh,Sultanpur,Kharif,Limited Irrigation,Anjali; Pratiksha; Sahbhagi Dhan
Chhattisgarh,Durg,Main Kharif,Rainfed,Surendra; Birsa Vikas Dhan 109; Mahanandi
Andhra Pradesh,Srikakulam,Summer,Limited Irrigation,Boro varieties; Rasi
Uttar Pradesh,Azamgarh,Kharif,Irrigated,MTU-1010; BPT-2231; PR 121; PR 128
Uttar Pradesh,Sultanpur,Kharif,Irrigated,Vijetha; PR 130
West Bengal,Nadia,Kharif,Rainfed,Radhunipagal; Kalonunia
Jharkhand,Paschim Singhbhum,Summer,Irrigated,Ratna; IR 64
Punjab,Muktsar,Summer,Irrigated,Satabdi; Ratna
Haryana,Panipat,Main Kharif,Limited Irrigation,Ranjit; Surendra
Odisha,Cuttack,Kharif,Rainfed,SR 26B; Virendra; Gayatri; MTU-1061
Assam,Goalpara,Summer,Limited Irrigation,CSR 30; Khitish; IR 64; Ciherang-Sub1
Odisha,Koraput,Summer,Irrigated,Swarna-Sub1; CSR 30; Hamilton
Tamil Nadu,Southern Zone - Regional,Summer,Limited Irrigation,CSR 27; MTU-1061; Khitish; CSR 43
Odisha,Puri,Kharif,Rainfed,Khandagiri; MCM-100; Surendra
Tamil Nadu,Tirunelveli,Rabi,Irrigated,SR 26B; GR 11
Chhattisgarh,Raipur,Kharif,Rainfed,Pratiksha; Vandana
Chhattisgarh,Bastar,Summer,Limited Irrigation,Ratna; Rasi; Vishnu Bhog
Andhra Pradesh,Krishna,Main Rabi,Limited Irrigation,CSR 36; CSR 27
Bihar,Bhojpur,Late Kharif,Limited Irrigation,CR Dhan 801; Udaya
Odisha,Cuttack,Main Kharif,Rainfed,Swarna-Sub1; SR 26B; Lunishree
Tamil Nadu,Ramanathapuram,Early Rabi,Irrigated,Satabdi; Improved Sabarmati
Andhra Pradesh,Kurnool,Summer,Limited Irrigation,Rasi; CSR 30
Chhattisgarh,Dantewada,Early Rabi,Irrigated,Satabdi; Swarna; Jeeraphool
Uttar Pradesh,Pratapgarh,Kharif,Limited Irrigation,Pooja; Pratiksha
Uttar Pradesh,Ballia,Main Rabi,Irrigated,Adamchini; Pusa Basmati 1121; Taraori Basmati
Haryana,Jind,Main Rabi,Irrigated,Ratna; Satabdi; IR 64
Karnataka,Mysore,Kharif,Rainfed,Indira; Pratiksha
Jharkhand,Lohardaga,Late Kharif,Limited Irrigation,Pooja; Mahanandi
Karnataka,Mandya,Rabi,Irrigated,IR 64; Swarna; CSR 30; Mysore Mallige
West Bengal,Howrah,Main Rabi,Limited Irrigation,Lunishree; Swarna; Pusa 1121
Uttar Pradesh,Jaunpur,Main Rabi,Irrigated,Taraori Basmati; MTU-1010; Pusa 1121
Chhattisgarh,Mahasamund,Main Rabi,Irrigated,IR 64; Dubraj; Improved Sabarmati
Uttar Pradesh,Amethi,Rabi,Limited Irrigation,Taraori Basmati; Swarna
Tamil Nadu,Pudukkottai,Summer (Hot Weather),Irrigated,MTU-1061; Hamilton; SR 26B
Bihar,Bhagalpur,Early Kharif,Irrigated,PR 128; MTU-1318
Haryana,Jind,Kharif,Limited Irrigation,Pooja; Gayatri
Karnataka,Bellary,Main Kharif,Rainfed,Indira; Konark; Swarna-Sub1
Punjab,Malerkotla,Summer (Hot Weather),Limited Irrigation,Taraori Basmati; Jaya
Bihar,Purba Champaran,Main Kharif,Rainfed,Annada; Vandana
Jharkhand,Dhanbad,Late Kharif,Rainfed,Vandana; Lalat
Bihar,Madhubani,Main Kharif,Irrigated,Ciherang-Sub1; MTU-1318; Pusa 44
West Bengal,North 24 Parganas,Kharif,Rainfed,Kalonunia; Gobindobhog; Virendra; Pratiksha
Andhra Pradesh,Prakasam,Kharif,Irrigated,BPT-2231; SR 26B
Uttar Pradesh,Barabanki,Rabi,Irrigated,Satabdi; Jaya; Adamchini
Odisha,Koraput,Main Kharif,Rainfed,Pratiksha; Khandagiri; Mahanandi
West Bengal,South 24 Parganas,Summer,Irrigated,Swarna-Sub1; Ratna; CR Dhan 801
Karnataka,Uttar Kannada,Rabi,Limited Irrigation,GR 11; Ratna
Assam,Cachar,Early Kharif,Limited Irrigation,Ranjit; Indira
Karnataka,Tumkur,Late Kharif,Irrigated,Rasi; MTU-1262
Andhra Pradesh,Chittoor,Rabi,Rainfed,Virendra; Improved Sabarmati; CSR 27
Bihar,Bhojpur,Early Kharif,Irrigated,CR Dhan 801; Sumati
Haryana,Fatehabad,Kharif,Rainfed,Gayatri; Pratiksha
Bihar,Purnia,Early Kharif,Limited Irrigation,Pratiksha; Surendra; Udaya
Assam,Kokrajhar,Main Rabi,Limited Irrigation,Khitish; Jaya
Odisha,Keonjhar,Rabi,Limited Irrigation,Pusa 1121; Rasi; IR 64
Andhra Pradesh,Anantapur,Main Rabi,Irrigated,Rasi; Ratna; Jaya
Punjab,Moga,Rabi,Limited Irrigation,IR 64; Jaya
Andhra Pradesh,Srikakulam,Main Rabi,Irrigated,CSR 36; Hamilton
Uttar Pradesh,Gorakhpur,Main Rabi,Limited Irrigation,Improved Sabarmati; Ratna; CSR 30
Odisha,Mayurbhanja,Late Kharif,Limited Irrigation,CSR 43; IR64-Sub1; MCM-100
Karnataka,Bellary,Kharif,Limited Irrigation,Swarna-Sub1; Naveen; Pratiksha; Indira
Chhattisgarh,Janjgir-Champa,Main Rabi,Irrigated,Jeeraphool; Pusa 1509; Ratna
Odisha,Ganjam,Early Rabi,Limited Irrigation,MCM-100; Pusa 1509
Tamil Nadu,Thanjavur,Kharif,Irrigated,IR 64; CSR 36; PR 128
West Bengal,Birbhum,Kharif,Limited Irrigation,Radhunipagal; Swarna-Sub1
Tamil Nadu,Tiruvarur,Rabi,Rainfed,Birsa Vikas Dhan 110; Khitish; Sahbhagi Dhan; Hamilton
Andhra Pradesh,East Godavari,Early Kharif,Limited Irrigation,CR Dhan 40; Swarna-Sub1; Surendra
Karnataka,Bellary,Late Kharif,Rainfed,Saket 4; Lalat
Punjab,Jalandhar,Summer (Hot Weather),Limited Irrigation,Khitish; Pusa Basmati 1121; Improved Sabarmati
Punjab,Muktsar,Summer (Hot Weather),Limited Irrigation,Improved Sabarmati; Pusa Basmati 1121
Chhattisgarh,Jashpur,Main Kharif,Rainfed,Surendra; Mahanandi
Andhra Pradesh,Chittoor,Summer (Hot Weather),Limited Irrigation,Lunishree; MTU-1061
Karnataka,Shimoga,Rabi,Irrigated,IR 64; Satabdi
Odisha,Kendrapara,Main Kharif,Rainfed,Birsa Vikas Dhan 109; Ranjit; CR Dhan 40
Bihar,Muzaffarpur,Main Kharif,Irrigated,PR 128; PR 131
Jharkhand,Purba Singhbhum,Kharif,Limited Irrigation,CR Dhan 40; Khandagiri; Ranjit; Gayatri
Punjab,SBS Nagar,Main Kharif,Limited Irrigation,Surendra; Konark
Andhra Pradesh,Chittoor,Early Kharif,Rainfed,Pooja; Naveen
Andhra Pradesh,Guntur,Kharif,Rainfed,Ranjit; Annada
Andhra Pradesh,Vizianagaram,Early Rabi,Limited Irrigation,Khitish; Jaya
Bihar,Patna,Early Kharif,Limited Irrigation,Anjali; Ranjit; Gayatri
Chhattisgarh,Dhamtari,Rabi,Irrigated,MTU-1010; Jaya
Jharkhand,Ranchi,Main Rabi,Limited Irrigation,CSR 30; Improved Sabarmati
Uttar Pradesh,Sultanpur,Summer,Irrigated,Pusa Basmati 1121; Ratna; IR 64
Uttar Pradesh,Amethi,Late Kharif,Irrigated,RNR 15048; MTU-1121; JGL 384
Uttar Pradesh,Pratapgarh,Rabi,Irrigated,MTU-1010; IR 64
Punjab,Pathankot,Early Kharif,Irrigated,PR 131; MTU-1121; MTU-1010
Uttar Pradesh,Siddharthnagar,Main Kharif,Rainfed,Taraori Basmati; Adamchini
Assam,Bongaigaon,Main Kharif,Irrigated,Kola Joha; JGL 1798
Punjab,Ferozepur,Summer,Limited Irrigation,Punjab Basmati 7; CSR 30; Pusa Basmati 1121
Punjab,Moga,Rabi,Limited Irrigation,Improved Sabarmati; Punjab Basmati 7; Khitish
Odisha,Sambalpur,Early Kharif,Limited Irrigation,Konark; Annada
Chhattisgarh,Bilaspur,Rabi,Limited Irrigation,Ratna; Pusa 1509
Assam,All,Kharif,Limited Irrigation,Annada; Kola Joha; Indira
Tamil Nadu,Ramanathapuram,Early Kharif,Rainfed,Birsa Vikas Dhan 110; SR 26B; Surendra
Chhattisgarh,Dantewada,Main Rabi,Limited Irrigation,Khitish; Rasi
Bihar,Purba Champaran,Rabi,Irrigated,Satabdi; Improved Sabarmati; GR 11; IR 64
Uttar Pradesh,Shahjahanpur,Main Kharif,Rainfed,Vandana; Naveen; Konark
Bihar,Purnia,Kharif,Rainfed,Swarna-Sub1; Mahanandi
Tamil Nadu,Tirunelveli,Main Rabi,Irrigated,Lunishree; Satabdi; MTU-1010
Haryana,Fatehabad,Summer,Limited Irrigation,Khitish; IR 64; Boro varieties; Jaya
Karnataka,Kodagu,Main Rabi,Limited Irrigation,Swarna; Pusa 1121
Tamil Nadu,Tirunelveli,Summer (Hot Weather),Limited Irrigation,Jaya; Khitish
Haryana,Jind,Main Kharif,Irrigated,MTU-1318; PAU 201; JGL 384
Punjab,Moga,Main Kharif,Irrigated,Rasi; RNR 15048
West Bengal,Purulia,Main Kharif,Rainfed,CSR 27; SR 26B; Lalat
Assam,Goalpara,Summer (Hot Weather),Irrigated,Rasi; Khitish
Bihar,Rohtas,Main Kharif,Rainfed,Indira; Khandagiri; Nagina 22
Karnataka,Gadag,Early Kharif,Limited Irrigation,Naveen; Ranjit; CR Dhan 40
Uttar Pradesh,Jaunpur,Rabi,Irrigated,Satabdi; Ratna
Punjab,North-Western Plains - Regional,Kharif,Rainfed,Khandagiri; Sahbhagi Dhan; Saket 4; Indira
Uttar Pradesh,Shahjahanpur,Summer,Irrigated,Adamchini; Taraori Basmati
Odisha,Sambalpur,Main Kharif,Irrigated,MTU-1318; CSR 43
Haryana,Jind,Kharif,Rainfed,Birsa Vikas Dhan 109; Mahanandi; Ranjit; Khandagiri
Punjab,Mansa,Early Rabi,Irrigated,Ratna; Pusa Basmati 1121; Punjab Basmati 7
West Bengal,Bankura,Early Rabi,Irrigated,MCM-100; Ratna
Haryana,Kaithal,Kharif,Limited Irrigation,Ranjit; Swarna-Sub1; Anjali; Sahbhagi Dhan
Tamil Nadu,Tiruchirapalli,Early Rabi,Irrigated,CSR 30; Jaya; Lunishree
Tamil Nadu,Erode,Kharif,Limited Irrigation,Anjali; Annada
Jharkhand,Giridih,Summer,Irrigated,Improved Sabarmati; Ratna
Odisha,Jagatsinghpur,Early Kharif,Limited Irrigation,Udaya; Konark
Jharkhand,Ranchi,Main Kharif,Irrigated,Mahsuri; HKR 47; Samba Mahsuri (BPT-5204)
West Bengal,Jalpaiguri,Late Kharif,Irrigated,Samba Mahsuri (BPT-5204); Gobindobhog
Odisha,Bolangir,Early Kharif,Irrigated,Mahsuri; Samba Mahsuri (BPT-5204); HKR 47
Jharkhand,Gumla,Main Rabi,Irrigated,Pusa 1121; MTU-1010; Rasi
West Bengal,Bankura,Late Kharif,Irrigated,MCM-100; Radhunipagal; MTU-1224
Assam,Sibsagar,Summer (Hot Weather),Limited Irrigation,CR Dhan 801; IR 64
Chhattisgarh,Bastar,Summer,Irrigated,Dubraj; Boro varieties
Karnataka,Mandya,Rabi,Rainfed,CSR 30; CR Dhan 40
Karnataka,Dakshina Kannada,Main Rabi,Limited Irrigation,Pusa 1121; Swarna; Pusa 1509
Karnataka,All,Kharif,Rainfed,Lalat; Anjali; Mysore Mallige
Punjab,Moga,Summer,Limited Irrigation,Pusa Basmati 1121; Satabdi
West Bengal,Uttar Dinajpur,Early Rabi,Limited Irrigation,Ratna; Khitish
Chhattisgarh,Durg,Late Kharif,Rainfed,Jeeraphool; Khandagiri
Punjab,SBS Nagar,Main Kharif,Limited Irrigation,Indira; CR Dhan 40; Konark
Odisha,Bhadrak,Early Rabi,Irrigated,Pusa 1121; MTU-1061; CSR 30
Karnataka,Shimoga,Kharif,Irrigated,PAU 201; MTU-1318; PR 121
Andhra Pradesh,Kurnool,Late Kharif,Rainfed,Surendra; Lalat
Bihar,Aurangabad,Main Kharif,Rainfed,CR Dhan 40; Saket 4; Naveen
Punjab,Mansa,Summer (Hot Weather),Irrigated,Boro varieties; Pusa Basmati 1121; Khitish
Chhattisgarh,Bilaspur,Kharif,Irrigated,HKR 47; BPT-2231; PR 130; Pusa 44
Assam,Bongaigaon,Summer (Hot Weather),Limited Irrigation,Swarna-Sub1; Ratna
Jharkhand,Purba Singhbhum,Kharif,Irrigated,PAU 201; Mahsuri
Andhra Pradesh,Nellore,Kharif,Rainfed,CSR 27; Indira Barani 1
Punjab,Hoshiarpur,Summer (Hot Weather),Limited Irrigation,Taraori Basmati; Ratna
Assam,Kamrup,Kharif,Rainfed,Annada; CR Dhan 40
West Bengal,Bardhaman,Kharif,Limited Irrigation,CSR 36; CSR 27
Bihar,Khagaria,Early Kharif,Irrigated,PAU 201; JGL 1798
West Bengal,Howrah,Early Rabi,Irrigated,MTU-1010; Kataribhog
Andhra Pradesh,West Godavari,Summer,Irrigated,Khitish; Rasi; SR 26B
Assam,Dhubri,Main Kharif,Limited Irrigation,Sahbhagi Dhan; Anjali
Andhra Pradesh,Guntur,Main Kharif,Irrigated,MTU-1121; CSR 27
Haryana,Panipat,Main Rabi,Irrigated,Khitish; IR 64; Pusa 1509
West Bengal,Bardhaman,Rabi,Irrigated,Swarna; Khitish
Tamil Nadu,Tiruvarur,Main Rabi,Rainfed,IR 64; Anjali
Karnataka,Uttar Kannada,Rabi,Irrigated,GR 11; MTU-1010; Jeerige Sanna; Pusa 1121
Punjab,Bathinda,Early Kharif,Limited Irrigation,Swarna-Sub1; Ranjit; Gayatri
Bihar,Purnia,Late Kharif,Irrigated,CR Dhan 801; MTU-1010
Chhattisgarh,Rajnandgaon,Late Kharif,Irrigated,Jeeraphool; Swarna (MTU-7029); MTU-1262
Bihar,Patna,Kharif,Irrigated,Rasi; MTU-1318; MTU-1121; Pusa 44
Assam,Darrang,Late Kharif,Rainfed,Saket 4; Udaya; Surendra
Karnataka,Kodagu,Summer,Limited Irrigation,Satabdi; IR 64
Bihar,Aurangabad,Kharif,Limited Irrigation,Swarna-Sub1; Sahbhagi Dhan; Naveen
Andhra Pradesh,East Godavari,Rabi,Limited Irrigation,MTU-1010; Pusa 1509; MTU-1061
Odisha,Sambalpur,Kharif,Rainfed,Swarna-Sub1; Khandagiri; MCM-100
Odisha,Cuttack,Summer,Limited Irrigation,Ratna; Boro varieties; MCM-100
Tamil Nadu,Sivaganga,Rabi,Irrigated,Ratna; Pusa 1121
Assam,Darrang,Summer,Irrigated,Samba Mahsuri-Sub1; Ciherang-Sub1
Assam,Darrang,Summer,Irrigated,Satabdi; Ciherang-Sub1
Odisha,Puri,Main Kharif,Limited Irrigation,Hamilton; CSR 43; Anjali
West Bengal,Bardhaman,Kharif,Rainfed,Pooja; Gayatri
Assam,Goalpara,Main Kharif,Rainfed,Birsa Vikas Dhan 109; Gayatri; Sahbhagi Dhan
Odisha,Keonjhar,Kharif,Rainfed,Vandana; SR 26B
Odisha,Nuapada,Main Kharif,Irrigated,MTU-1010; JGL 384; MTU-1121
Jharkhand,Purba Singhbhum,Summer (Hot Weather),Irrigated,Satabdi; IR 64; Khitish
Odisha,Keonjhar,Early Kharif,Irrigated,MTU-1121; MTU-1262
Odisha,Cuttack,Early Rabi,Limited Irrigation,CSR 30; MCM-100
Karnataka,Bellary,Early Rabi,Irrigated,Pusa 1509; IR 64
Assam,Kamrup,Late Kharif,Limited Irrigation,Khandagiri; Gayatri
Punjab,Faridkot,Rabi,Irrigated,GR 11; Khitish; Jaya
Punjab,SBS Nagar,Early Kharif,Rainfed,Gayatri; Indira Barani 1
