State,District,Sowing_Season,Irrigation_Status,Recommended_Varieties
Maharashtra,Yavatmal,Late Kharif,Limited Irrigation,Bisco 855; NMH-731; Him 123
Maharashtra,Yavatmal,Early Rabi,Irrigated,Bisco 855; CT 1188
Maharashtra,Yavatmal,Early Rabi,Rainfed,Bisco 855; CT 1188
Maharashtra,Yavatmal,Early Rabi,Limited Irrigation,Bisco 855; CT 1188
Maharashtra,Yavatmal,Main Rabi,Irrigated,CT 1188; COH(M) 8
Maharashtra,Yavatmal,Main Rabi,Rainfed,CT 1188; HQPM-1
Maharashtra,Yavatmal,Main Rabi,Limited Irrigation,CT 1188; Navjot; DMRH-1305
Maharashtra,Yavatmal,Late Rabi,Irrigated,CT 1188; Kaushal 3339; P2848W; Amber
Maharashtra,Yavatmal,Late Rabi,Rainfed,Mitra; CT 7722; Vijay
Maharashtra,Yavatmal,Late Rabi,Limited Irrigation,Bisco 555; CT 7722; DMRH-1305
Maharashtra,Akola,Kharif,Irrigated,Bisco 555; Bisco 855
Maharashtra,Akola,Kharif,Rainfed,Mitra; Bisco 855
Maharashtra,Akola,Kharif,Limited Irrigation,Bisco 555; Bisco 855; Him 123
Maharashtra,Akola,Rabi,Irrigated,Bisco 855; CT 7722
Maharashtra,Akola,Rabi,Rainfed,Bisco 555; CT 7722
Maharashtra,Akola,Rabi,Limited Irrigation,CT 1188; CT 7722; DMRH-1305; Madhuri
Maharashtra,Akola,Summer,Irrigated,Mitra; Hi-Starch; P2848W
Maharashtra,Akola,Summer,Rainfed,Bisco 555; P2848W; Diyara Composite; KMH-3426
Maharashtra,Akola,Summer,Limited Irrigation,Mitra; Sugar 75; DMRH-1305; DHM 115
Maharashtra,Akola,Early Kharif,Irrigated,Bisco 555; Pusa Extra Early Hybrid Makka-5; DMRH-1308
Maharashtra,Akola,Early Kharif,Rainfed,CT 1188; Prakash; Amber
Maharashtra,Akola,Early Kharif,Limited Irrigation,Bisco 555; Prakash
Maharashtra,Akola,Main Kharif,Irrigated,Bisco 555; Kaushal 3339; DMRH-1308; Pratap Hybrid Maize-1
Maharashtra,Akola,Main Kharif,Rainfed,CT 1188; Ganga Hybrid-1; Vijay
Maharashtra,Akola,Main Kharif,Limited Irrigation,Bisco 855; Shaktiman-1; DMRH-1305
Maharashtra,Akola,Late Kharif,Irrigated,Bisco 555; NMH-731; HQPM-7
Maharashtra,Akola,Late Kharif,Rainfed,Mitra; NMH-731; Amber; HM-10
Maharashtra,Akola,Late Kharif,Limited Irrigation,Mitra; NMH-731
Maharashtra,Akola,Early Rabi,Irrigated,Mitra; CT 1188; HQPM-7; COH(M) 8
Maharashtra,Akola,Early Rabi,Rainfed,Bisco 855; CT 1188
Maharashtra,Akola,Early Rabi,Limited Irrigation,Mitra; CT 1188; Him 123; HQPM-1
Maharashtra,Akola,Main Rabi,Irrigated,Mitra; J-1006; P2848W; PMH 17
Maharashtra,Akola,Main Rabi,Rainfed,Mitra; Almora Sweet Corn; Amber; Paras
Maharashtra,Akola,Main Rabi,Limited Irrigation,Mitra; Pusa Extra Early Hybrid Makka-5; Him 123
Maharashtra,Akola,Late Rabi,Irrigated,Bisco 855; CT 7722; DMRH-1308
Maharashtra,Akola,Late Rabi,Rainfed,CT 1188; Raakhi 1899
Maharashtra,Akola,Late Rabi,Limited Irrigation,Bisco 555; CT 7722; Him 123; VL Popcorn
Bihar,Begusarai,Kharif,Irrigated,DMRH-1301; MM 9344; CO 6; Amber
Bihar,Begusarai,Kharif,Rainfed,DMRH-1301; Bisco 855; Vijay
Bihar,Begusarai,Kharif,Limited Irrigation,CT 7722; Bisco 855
Bihar,Begusarai,Rabi,Irrigated,DMRH-1308; P2848W; DMRH-1308
Bihar,Begusarai,Rabi,Rainfed,DMRH-1308; CT 7722
Bihar,Begusarai,Rabi,Limited Irrigation,DMRH-1301; Kaushal 3339; Him 123; HM-10
Bihar,Begusarai,Summer,Irrigated,Kaushal 3339; P2848W
Bihar,Begusarai,Summer,Rainfed,DMRH-1301; P2848W
Bihar,Begusarai,Summer,Limited Irrigation,CT 7722; P2848W; Malwa King
Bihar,Begusarai,Early Kharif,Irrigated,DMRH-1308; Pusa Extra Early Hybrid Makka-5; P2848W; Gujarat Anand White Maize Hybrid-2
Bihar,Begusarai,Early Kharif,Rainfed,DMRH-1301; DHM 115
Bihar,Begusarai,Early Kharif,Limited Irrigation,DMRH-1301; Pusa Extra Early Hybrid Makka-5; Prakash
Bihar,Begusarai,Main Kharif,Irrigated,DMRH-1301; BPCH 6; CO 6
Bihar,Begusarai,Main Kharif,Rainfed,DMRH-1308; Shaktiman-1
Bihar,Begusarai,Main Kharif,Limited Irrigation,CT 7722; DMRH-1305
Bihar,Begusarai,Late Kharif,Irrigated,DMRH-1308; Late varieties
Bihar,Begusarai,Late Kharif,Rainfed,DMRH-1308; Late varieties; Amber; Partap Kanchan-2
Bihar,Begusarai,Late Kharif,Limited Irrigation,DMRH-1301; PMH-3
Bihar,Begusarai,Early Rabi,Irrigated,DMRH-1308; Aadarsh 3636; CO 6
Bihar,Begusarai,Early Rabi,Rainfed,DMRH-1301; CT 1188; Diyara Composite
Bihar,Begusarai,Early Rabi,Limited Irrigation,Kaushal 3339; P2809W
Bihar,Begusarai,Main Rabi,Irrigated,DMRH-1301; CP 988; P2848W
Bihar,Begusarai,Main Rabi,Rainfed,DMRH-1308; Shaktiman-1; Aadarsh 3636; HM-10
Bihar,Begusarai,Main Rabi,Limited Irrigation,DMRH-1301; BPCH 6; DMRH-1305
Bihar,Begusarai,Late Rabi,Irrigated,CT 7722; Raakhi 1899; HQPM-7
Bihar,Begusarai,Late Rabi,Rainfed,Kaushal 3339; Raakhi 1899; Aadarsh 3636
Bihar,Begusarai,Late Rabi,Limited Irrigation,CT 7722; CT 7722
Bihar,Khagaria,Kharif,Irrigated,DMRH-1301; CO 6; DMRH-1308; Aadarsh 3636
Bihar,Khagaria,Kharif,Rainfed,CT 7722; CO 6; Vijay; MM 9344
Bihar,Khagaria,Kharif,Limited Irrigation,CT 7722; MM 9344
Bihar,Khagaria,Rabi,Irrigated,DMRH-1308; DMRH-1308
Bihar,Khagaria,Rabi,Rainfed,CT 7722; CT 7722
Bihar,Khagaria,Rabi,Limited Irrigation,DMRH-1301; P2848W
Bihar,Khagaria,Summer,Irrigated,DMRH-1308; Hi-Starch; P2848W; KMH-218 Plus
Bihar,Khagaria,Summer,Rainfed,DMRH-1301; P2848W
Bihar,Khagaria,Summer,Limited Irrigation,CT 7722; Hi-Starch; DMRH-1305; HM 4
Bihar,Khagaria,Early Kharif,Irrigated,CT 7722; Prakash; HQPM-7
Bihar,Khagaria,Early Kharif,Rainfed,DMRH-1308; DHM 115
Bihar,Khagaria,Early Kharif,Limited Irrigation,DMRH-1308; DHM 115
Bihar,Khagaria,Main Kharif,Irrigated,Kaushal 3339; Pusa Bio fortified Maize Hybrid-4; HQPM-7; Mitra
Bihar,Khagaria,Main Kharif,Rainfed,DMRH-1308; Bisco X 5129; Diyara Composite; Pusa Extra Early Hybrid Makka-5
Bihar,Khagaria,Main Kharif,Limited Irrigation,DMRH-1308; CP 999; Prakash
Bihar,Khagaria,Late Kharif,Irrigated,CT 7722; NMH-731; CO 6
Bihar,Khagaria,Late Kharif,Rainfed,CT 7722; NMH-731; Aadarsh 3636
Bihar,Khagaria,Late Kharif,Limited Irrigation,CT 7722; NMH-731
Bihar,Khagaria,Early Rabi,Irrigated,DMRH-1308; CT 1188; CO 6
Bihar,Khagaria,Early Rabi,Rainfed,CT 7722; Aadarsh 3636; Aadarsh 3636
Bihar,Khagaria,Early Rabi,Limited Irrigation,CT 7722; P2809W
Bihar,Khagaria,Main Rabi,Irrigated,DMRH-1301; DMRH-1301
Bihar,Khagaria,Main Rabi,Rainfed,CT 7722; African Tall; Aadarsh 3636; Kaushal 3339
Bihar,Khagaria,Main Rabi,Limited Irrigation,CT 7722; Shaktiman-1; Prakash
Bihar,Khagaria,Late Rabi,Irrigated,DMRH-1301; CT 7722; HQPM-7; KMH-3426
Bihar,Khagaria,Late Rabi,Rainfed,Kaushal 3339; Raakhi 1899
Bihar,Khagaria,Late Rabi,Limited Irrigation,Kaushal 3339; Raakhi 1899; Malwa King
Bihar,East Champaran,Kharif,Irrigated,DMRH-1308; Bisco 855; DMRH-1308; Bisco X 5129
Bihar,East Champaran,Kharif,Rainfed,DMRH-1301; CO 6; Diyara Composite
Bihar,East Champaran,Kharif,Limited Irrigation,DMRH-1308; CO 6; Malwa King; Bisco 855
Bihar,East Champaran,Rabi,Irrigated,CT 7722; P2848W
Bihar,East Champaran,Rabi,Rainfed,CT 7722; Kaushal 3339; Aadarsh 3636; CO 6
Bihar,East Champaran,Rabi,Limited Irrigation,CT 7722; CT 7722; Him 123
Bihar,East Champaran,Summer,Irrigated,Kaushal 3339; P2848W; P2848W; Him 123
Bihar,East Champaran,Summer,Rainfed,Kaushal 3339; P2809W; Amber; VL Popcorn
Bihar,East Champaran,Summer,Limited Irrigation,CT 7722; Sugar 75; Prakash
Bihar,East Champaran,Early Kharif,Irrigated,DMRH-1308; DHM 115; HQPM-7; Shaktiman-1
Bihar,East Champaran,Early Kharif,Rainfed,CT 7722; DHM 115; Amber
Bihar,East Champaran,Early Kharif,Limited Irrigation,DMRH-1308; DHM 115
Bihar,East Champaran,Main Kharif,Irrigated,DMRH-1301; Pusa HM8 Improved; HQPM-7
Bihar,East Champaran,Main Kharif,Rainfed,CT 7722; NAH-2049
Bihar,East Champaran,Main Kharif,Limited Irrigation,Kaushal 3339; HM-10
Bihar,East Champaran,Late Kharif,Irrigated,CT 7722; PMH-3
Bihar,East Champaran,Late Kharif,Rainfed,Kaushal 3339; NMH-731; Vijay; HM-12
Bihar,East Champaran,Late Kharif,Limited Irrigation,DMRH-1301; PMH-3
Bihar,East Champaran,Early Rabi,Irrigated,CT 7722; CT 1188; CO 6; Kaushal 3339
Bihar,East Champaran,Early Rabi,Rainfed,Kaushal 3339; P2809W; Diyara Composite
Bihar,East Champaran,Early Rabi,Limited Irrigation,Kaushal 3339; CT 1188; Malwa King; HM-12
Bihar,East Champaran,Main Rabi,Irrigated,CT 7722; Naveen Composite
Bihar,East Champaran,Main Rabi,Rainfed,DMRH-1301; DK-701; Diyara Composite; HM 4
Bihar,East Champaran,Main Rabi,Limited Irrigation,CT 7722; Navjot; Him 123; Shaktiman-1
Bihar,East Champaran,Late Rabi,Irrigated,Kaushal 3339; Kaushal 3339; P2848W; DMRH-1301
Bihar,East Champaran,Late Rabi,Rainfed,Kaushal 3339; Raakhi 1899
Bihar,East Champaran,Late Rabi,Limited Irrigation,CT 7722; Raakhi 1899; Malwa King
Bihar,West Champaran,Kharif,Irrigated,DMRH-1301; Bisco 855; P2848W
Bihar,West Champaran,Kharif,Rainfed,DMRH-1301; CO 6; Aadarsh 3636; Naveen Composite
Bihar,West Champaran,Kharif,Limited Irrigation,CT 7722; CO 6
Bihar,West Champaran,Rabi,Irrigated,DMRH-1308; Kaushal 3339; HQPM-7
Bihar,West Champaran,Rabi,Rainfed,DMRH-1301; DMRH-1308
Bihar,West Champaran,Rabi,Limited Irrigation,Kaushal 3339; P2848W; Prakash
Bihar,West Champaran,Summer,Irrigated,CT 7722; P2809W
Bihar,West Champaran,Summer,Rainfed,CT 7722; P2809W; Diyara Composite; African Tall
Bihar,West Champaran,Summer,Limited Irrigation,DMRH-1301; Hi-Starch
Bihar,West Champaran,Early Kharif,Irrigated,CT 7722; Pusa Extra Early Hybrid Makka-5; HQPM-7
Bihar,West Champaran,Early Kharif,Rainfed,Kaushal 3339; Prakash
Bihar,West Champaran,Early Kharif,Limited Irrigation,DMRH-1308; Prakash
Bihar,West Champaran,Main Kharif,Irrigated,CT 7722; Pratap Makka-9; DMRH-1308; Ganga-4
Bihar,West Champaran,Main Kharif,Rainfed,DMRH-1308; Bright Gene; Aadarsh 3636
Bihar,West Champaran,Main Kharif,Limited Irrigation,DMRH-1308; Vikram; DMRH-1305
Bihar,West Champaran,Late Kharif,Irrigated,CT 7722; PMH-3
Bihar,West Champaran,Late Kharif,Rainfed,DMRH-1308; PMH-3
Bihar,West Champaran,Late Kharif,Limited Irrigation,DMRH-1308; Late varieties; Malwa King; PMH 17
Bihar,West Champaran,Early Rabi,Irrigated,DMRH-1301; CT 1188; CO 6; Pearl Popcorn
Bihar,West Champaran,Early Rabi,Rainfed,CT 7722; P2809W; Diyara Composite; Himalayan 123
Bihar,West Champaran,Early Rabi,Limited Irrigation,DMRH-1308; Aadarsh 3636
Bihar,West Champaran,Main Rabi,Irrigated,DMRH-1301; J-1006
Bihar,West Champaran,Main Rabi,Rainfed,CT 7722; Kaushal 3339
Bihar,West Champaran,Main Rabi,Limited Irrigation,DMRH-1308; Madhuri; Malwa King
Bihar,West Champaran,Late Rabi,Irrigated,CT 7722; CT 7722; CO 6; VL Baby corn 1
Bihar,West Champaran,Late Rabi,Rainfed,Kaushal 3339; CT 7722; Amber
Bihar,West Champaran,Late Rabi,Limited Irrigation,DMRH-1308; CT 7722; Malwa King; Partap Kanchan-2
Bihar,Bhagalpur,Kharif,Irrigated,DMRH-1308; Bisco 855; CO 6; Shaktiman-4
Bihar,Bhagalpur,Kharif,Rainfed,DMRH-1308; DMRH-1301; Diyara Composite
Bihar,Bhagalpur,Kharif,Limited Irrigation,DMRH-1308; Bisco 855; Him 123; VL Baby corn 1
Bihar,Bhagalpur,Rabi,Irrigated,Kaushal 3339; P2848W; HQPM-7; Partap Kanchan-2
Bihar,Bhagalpur,Rabi,Rainfed,Kaushal 3339; P2848W
Bihar,Bhagalpur,Rabi,Limited Irrigation,CT 7722; Kaushal 3339
Bihar,Bhagalpur,Summer,Irrigated,CT 7722; Sugar 75
Bihar,Bhagalpur,Summer,Rainfed,CT 7722; P2809W; Aadarsh 3636
Bihar,Bhagalpur,Summer,Limited Irrigation,CT 7722; Hi-Starch; Malwa King; Him 129
Bihar,Bhagalpur,Early Kharif,Irrigated,DMRH-1301; Pusa Extra Early Hybrid Makka-5
Bihar,Bhagalpur,Early Kharif,Rainfed,CT 7722; Early Composite; Vijay; DMRH-1305
Bihar,Bhagalpur,Early Kharif,Limited Irrigation,CT 7722; Early Composite; DMRH-1305; Him 128
Bihar,Bhagalpur,Main Kharif,Irrigated,DMRH-1308; HM-10
Bihar,Bhagalpur,Main Kharif,Rainfed,CT 7722; VL Popcorn; Aadarsh 3636
Bihar,Bhagalpur,Main Kharif,Limited Irrigation,DMRH-1301; Rajendra Makka-1
Bihar,Bhagalpur,Late Kharif,Irrigated,DMRH-1308; Late varieties
Bihar,Bhagalpur,Late Kharif,Rainfed,Kaushal 3339; NMH-731; Vijay; CP 999
Bihar,Bhagalpur,Late Kharif,Limited Irrigation,DMRH-1308; NMH-731
Bihar,Bhagalpur,Early Rabi,Irrigated,DMRH-1301; P2809W; P2848W; KMH-3426
Bihar,Bhagalpur,Early Rabi,Rainfed,DMRH-1301; P2809W; Diyara Composite
Bihar,Bhagalpur,Early Rabi,Limited Irrigation,Kaushal 3339; Aadarsh 3636
Bihar,Bhagalpur,Main Rabi,Irrigated,Kaushal 3339; DK-701; P2848W; Kaushal 3339
Bihar,Bhagalpur,Main Rabi,Rainfed,DMRH-1301; Raakhi 1899; Vijay; Pearl Popcorn
Bihar,Bhagalpur,Main Rabi,Limited Irrigation,DMRH-1308; CO 6
Bihar,Bhagalpur,Late Rabi,Irrigated,DMRH-1308; Raakhi 1899; HQPM-7
Bihar,Bhagalpur,Late Rabi,Rainfed,CT 7722; Kaushal 3339; Diyara Composite; PFM-66
Bihar,Bhagalpur,Late Rabi,Limited Irrigation,CT 7722; CT 7722; Malwa King
Bihar,Madhepura,Kharif,Irrigated,DMRH-1308; CO 6; DMRH-1308
Bihar,Madhepura,Kharif,Rainfed,DMRH-1308; MM 9344; Amber; VL Popcorn
Bihar,Madhepura,Kharif,Limited Irrigation,CT 7722; Bisco 855; Malwa King
Bihar,Madhepura,Rabi,Irrigated,DMRH-1301; P2848W; DMRH-1308; PMH-10
Bihar,Madhepura,Rabi,Rainfed,Kaushal 3339; CT 7722; Amber
Bihar,Madhepura,Rabi,Limited Irrigation,DMRH-1301; P2848W
Bihar,Madhepura,Summer,Irrigated,DMRH-1301; P2848W
Bihar,Madhepura,Summer,Rainfed,CT 7722; P2809W; Diyara Composite; Bright Gene
Bihar,Madhepura,Summer,Limited Irrigation,Kaushal 3339; P2809W; Malwa King; PHB 30B50
Bihar,Madhepura,Early Kharif,Irrigated,CT 7722; DHM 115
Bihar,Madhepura,Early Kharif,Rainfed,CT 7722; Pusa Extra Early Hybrid Makka-5; Amber
Bihar,Madhepura,Early Kharif,Limited Irrigation,DMRH-1308; DHM 115; DMRH-1305
Bihar,Madhepura,Main Kharif,Irrigated,DMRH-1301; J-1006; P2848W
Bihar,Madhepura,Main Kharif,Rainfed,CT 7722; Bisco X 5129; Aadarsh 3636; HM 4
Bihar,Madhepura,Main Kharif,Limited Irrigation,CT 7722; HQPM-7
Bihar,Madhepura,Late Kharif,Irrigated,DMRH-1308; PMH-3; DMRH-1308; Malwa King
Bihar,Madhepura,Late Kharif,Rainfed,DMRH-1301; Late varieties; Vijay
Bihar,Madhepura,Late Kharif,Limited Irrigation,DMRH-1301; NMH-731
Bihar,Madhepura,Early Rabi,Irrigated,CT 7722; P2809W; CO 6; PMH 17
Bihar,Madhepura,Early Rabi,Rainfed,CT 7722; Aadarsh 3636; Vijay; CT 1188
Bihar,Madhepura,Early Rabi,Limited Irrigation,DMRH-1301; Aadarsh 3636; Him 123
Bihar,Madhepura,Main Rabi,Irrigated,DMRH-1301; Kissan Composite; CO 6; Bisco X 5129
Bihar,Madhepura,Main Rabi,Rainfed,DMRH-1308; Sartaj
Bihar,Madhepura,Main Rabi,Limited Irrigation,DMRH-1308; Vivek QPM 9
Bihar,Madhepura,Late Rabi,Irrigated,CT 7722; Kaushal 3339; P2848W; CT 7722
Bihar,Madhepura,Late Rabi,Rainfed,DMRH-1308; Raakhi 1899
Bihar,Madhepura,Late Rabi,Limited Irrigation,CT 7722; CT 7722
Bihar,Saharsa,Kharif,Irrigated,CT 7722; CO 6; P2848W
Bihar,Saharsa,Kharif,Rainfed,CT 7722; DMRH-1301; Diyara Composite; Mitra
Bihar,Saharsa,Kharif,Limited Irrigation,Kaushal 3339; MM 9344
Bihar,Saharsa,Rabi,Irrigated,DMRH-1308; P2848W; P2848W
Bihar,Saharsa,Rabi,Rainfed,CT 7722; Kaushal 3339
Bihar,Saharsa,Rabi,Limited Irrigation,DMRH-1308; P2848W
Bihar,Saharsa,Summer,Irrigated,DMRH-1308; Hi-Starch
Bihar,Saharsa,Summer,Rainfed,Kaushal 3339; Hi-Starch
Bihar,Saharsa,Summer,Limited Irrigation,Kaushal 3339; P2809W; Him 123
Bihar,Saharsa,Early Kharif,Irrigated,Kaushal 3339; Pusa Extra Early Hybrid Makka-5; DMRH-1308; DK-701
Bihar,Saharsa,Early Kharif,Rainfed,DMRH-1301; DHM 115; Diyara Composite
Bihar,Saharsa,Early Kharif,Limited Irrigation,CT 7722; Early Composite
Bihar,Saharsa,Main Kharif,Irrigated,DMRH-1308; Prakash
Bihar,Saharsa,Main Kharif,Rainfed,CT 7722; Gujarat Anand White Maize Hybrid-2; Aadarsh 3636
Bihar,Saharsa,Main Kharif,Limited Irrigation,DMRH-1308; Shakti; Prakash; Almora Sweet Corn
Bihar,Saharsa,Late Kharif,Irrigated,CT 7722; NMH-731; DMRH-1308
Bihar,Saharsa,Late Kharif,Rainfed,DMRH-1308; NMH-731
Bihar,Saharsa,Late Kharif,Limited Irrigation,DMRH-1308; NMH-731; Prakash
Bihar,Saharsa,Early Rabi,Irrigated,CT 7722; CT 1188; P2848W
Bihar,Saharsa,Early Rabi,Rainfed,CT 7722; P2809W; Amber
Bihar,Saharsa,Early Rabi,Limited Irrigation,DMRH-1301; CT 1188; DMRH-1305; PR 132
Bihar,Saharsa,Main Rabi,Irrigated,DMRH-1301; Pusa Bio fortified Maize Hybrid-4; HQPM-7; Agraj
Bihar,Saharsa,Main Rabi,Rainfed,DMRH-1308; Bright Gene
Bihar,Saharsa,Main Rabi,Limited Irrigation,CT 7722; Pratap Makka-9
Bihar,Saharsa,Late Rabi,Irrigated,DMRH-1308; CT 7722
Bihar,Saharsa,Late Rabi,Rainfed,DMRH-1301; Kaushal 3339
Bihar,Saharsa,Late Rabi,Limited Irrigation,DMRH-1308; Kaushal 3339; Prakash
Bihar,Samastipur,Kharif,Irrigated,CT 7722; DMRH-1301; P2848W
Bihar,Samastipur,Kharif,Rainfed,Kaushal 3339; MM 9344
Bihar,Samastipur,Kharif,Limited Irrigation,DMRH-1308; DMRH-1301; Malwa King; NMH-803
Bihar,Samastipur,Rabi,Irrigated,Kaushal 3339; Kaushal 3339
Bihar,Samastipur,Rabi,Rainfed,DMRH-1301; P2848W; Amber
Bihar,Samastipur,Rabi,Limited Irrigation,Kaushal 3339; DMRH-1308; Malwa King
Bihar,Samastipur,Summer,Irrigated,DMRH-1308; Hi-Starch; P2848W; Vikram
Bihar,Samastipur,Summer,Rainfed,Kaushal 3339; P2848W; Diyara Composite; Sona
Bihar,Samastipur,Summer,Limited Irrigation,DMRH-1301; P2809W
Bihar,Samastipur,Early Kharif,Irrigated,DMRH-1301; Prakash
Bihar,Samastipur,Early Kharif,Rainfed,CT 7722; Prakash; Vijay; Sweet corn Hybrid VH-44
Bihar,Samastipur,Early Kharif,Limited Irrigation,CT 7722; DHM 115; DMRH-1305; African Tall
Bihar,Samastipur,Main Kharif,Irrigated,CT 7722; CO 6
Bihar,Samastipur,Main Kharif,Rainfed,Kaushal 3339; Bisco 855; Diyara Composite; Vijay
Bihar,Samastipur,Main Kharif,Limited Irrigation,CT 7722; Almora Sweet Corn; Malwa King
Bihar,Samastipur,Late Kharif,Irrigated,DMRH-1301; NMH-731; P2848W
Bihar,Samastipur,Late Kharif,Rainfed,DMRH-1301; Late varieties; Amber; MMH 133
Bihar,Samastipur,Late Kharif,Limited Irrigation,DMRH-1301; NMH-731; Him 123; Amber Popcorn
Bihar,Samastipur,Early Rabi,Irrigated,Kaushal 3339; P2809W; HQPM-7; Pusa HM4 Improved
Bihar,Samastipur,Early Rabi,Rainfed,DMRH-1308; Aadarsh 3636
Bihar,Samastipur,Early Rabi,Limited Irrigation,CT 7722; Aadarsh 3636; Prakash; Raakhi 1899
Bihar,Samastipur,Main Rabi,Irrigated,Kaushal 3339; Deccan Hybrid; DMRH-1308
Bihar,Samastipur,Main Rabi,Rainfed,DMRH-1308; NMH-731
Bihar,Samastipur,Main Rabi,Limited Irrigation,Kaushal 3339; Him 123; DMRH-1305
Bihar,Samastipur,Late Rabi,Irrigated,DMRH-1308; Kaushal 3339; DMRH-1308
Bihar,Samastipur,Late Rabi,Rainfed,Kaushal 3339; CT 7722
Bihar,Samastipur,Late Rabi,Limited Irrigation,Kaushal 3339; Raakhi 1899
Bihar,Muzaffarpur,Kharif,Irrigated,Kaushal 3339; MM 9344
Bihar,Muzaffarpur,Kharif,Rainfed,DMRH-1301; MM 9344
Bihar,Muzaffarpur,Kharif,Limited Irrigation,DMRH-1308; MM 9344
Bihar,Muzaffarpur,Rabi,Irrigated,DMRH-1301; P2848W
Bihar,Muzaffarpur,Rabi,Rainfed,DMRH-1308; P2848W; Amber; Him 123
Bihar,Muzaffarpur,Rabi,Limited Irrigation,CT 7722; Kaushal 3339; Him 123
Bihar,Muzaffarpur,Summer,Irrigated,CT 7722; Hi-Starch
Bihar,Muzaffarpur,Summer,Rainfed,CT 7722; P2848W
Bihar,Muzaffarpur,Summer,Limited Irrigation,DMRH-1308; P2848W; Him 123
Bihar,Muzaffarpur,Early Kharif,Irrigated,Kaushal 3339; DHM 115; HQPM-7; DMRH-1305
Bihar,Muzaffarpur,Early Kharif,Rainfed,DMRH-1301; DHM 115; Vijay
Bihar,Muzaffarpur,Early Kharif,Limited Irrigation,CT 7722; Prakash; DMRH-1305
Bihar,Muzaffarpur,Main Kharif,Irrigated,DMRH-1301; Kanchan; CO 6; HM 4
Bihar,Muzaffarpur,Main Kharif,Rainfed,DMRH-1301; Pusa HM-9 Improved; Vijay
Bihar,Muzaffarpur,Main Kharif,Limited Irrigation,DMRH-1301; Vikram
Bihar,Muzaffarpur,Late Kharif,Irrigated,DMRH-1301; NMH-731; DMRH-1308
Bihar,Muzaffarpur,Late Kharif,Rainfed,DMRH-1301; NMH-731; Amber; Early Composite
Bihar,Muzaffarpur,Late Kharif,Limited Irrigation,DMRH-1308; PMH-3; Prakash
Bihar,Muzaffarpur,Early Rabi,Irrigated,Kaushal 3339; Aadarsh 3636; DMRH-1308
Bihar,Muzaffarpur,Early Rabi,Rainfed,DMRH-1301; Aadarsh 3636
Bihar,Muzaffarpur,Early Rabi,Limited Irrigation,CT 7722; P2809W; Malwa King
Bihar,Muzaffarpur,Main Rabi,Irrigated,CT 7722; Hi-Starch
Bihar,Muzaffarpur,Main Rabi,Rainfed,Kaushal 3339; HQPM-7; Amber
Bihar,Muzaffarpur,Main Rabi,Limited Irrigation,DMRH-1301; Amber Popcorn; Him 123; Kishan
Bihar,Muzaffarpur,Late Rabi,Irrigated,DMRH-1301; CT 7722
Bihar,Muzaffarpur,Late Rabi,Rainfed,DMRH-1301; CT 7722; Vijay
Bihar,Muzaffarpur,Late Rabi,Limited Irrigation,DMRH-1308; CT 7722
Bihar,Sitamarhi,Kharif,Irrigated,CT 7722; CO 6; P2848W; VL Baby corn 1
Bihar,Sitamarhi,Kharif,Rainfed,DMRH-1301; MM 9344; Aadarsh 3636; Sartaj
Bihar,Sitamarhi,Kharif,Limited Irrigation,DMRH-1301; DMRH-1301; DMRH-1305; Almora Sweet Corn
Bihar,Sitamarhi,Rabi,Irrigated,CT 7722; DMRH-1308; DMRH-1308; CP 999
Bihar,Sitamarhi,Rabi,Rainfed,DMRH-1301; CT 7722; Amber; Gujarat Makai-6
Bihar,Sitamarhi,Rabi,Limited Irrigation,Kaushal 3339; CT 7722
Bihar,Sitamarhi,Summer,Irrigated,CT 7722; Hi-Starch; HQPM-7
Bihar,Sitamarhi,Summer,Rainfed,CT 7722; Sugar 75; Amber; PHB 30B50
Bihar,Sitamarhi,Summer,Limited Irrigation,CT 7722; P2848W; Malwa King
Bihar,Sitamarhi,Early Kharif,Irrigated,DMRH-1308; Prakash
Bihar,Sitamarhi,Early Kharif,Rainfed,DMRH-1301; Prakash; Diyara Composite
Bihar,Sitamarhi,Early Kharif,Limited Irrigation,DMRH-1308; Early Composite; Him 123
Bihar,Sitamarhi,Main Kharif,Irrigated,CT 7722; Early Composite
Bihar,Sitamarhi,Main Kharif,Rainfed,DMRH-1308; Kishan
Bihar,Sitamarhi,Main Kharif,Limited Irrigation,DMRH-1301; DK-701
Bihar,Sitamarhi,Late Kharif,Irrigated,DMRH-1301; Late varieties; CO 6; PFM-66
Bihar,Sitamarhi,Late Kharif,Rainfed,DMRH-1301; PMH-3; Amber
Bihar,Sitamarhi,Late Kharif,Limited Irrigation,DMRH-1308; NMH-731
Bihar,Sitamarhi,Early Rabi,Irrigated,CT 7722; P2809W
Bihar,Sitamarhi,Early Rabi,Rainfed,DMRH-1308; Aadarsh 3636
Bihar,Sitamarhi,Early Rabi,Limited Irrigation,Kaushal 3339; CT 1188; Malwa King; Pusa HM8 Improved
Bihar,Sitamarhi,Main Rabi,Irrigated,DMRH-1301; Shaktiman-3; HQPM-7
Bihar,Sitamarhi,Main Rabi,Rainfed,CT 7722; DMRH-1308; Aadarsh 3636; Ganga-5
Bihar,Sitamarhi,Main Rabi,Limited Irrigation,Kaushal 3339; Ganga-5; DMRH-1305; DHM 115
Bihar,Sitamarhi,Late Rabi,Irrigated,CT 7722; Kaushal 3339; HQPM-7
